[Fe/H] err  [O/H]  err
 0.00  0.06  0.23  0.03
-0.27  0.04 -0.22  0.03
-0.59  0.05 -0.34  0.03
-0.50  0.08 -0.25  0.03
-0.38  0.08 -0.06  0.04
-1.29  0.12 -1.15  0.02
-0.02  0.05 -0.01  0.02
 0.11  0.05  0.14  0.02
-0.20  0.07 -0.14  0.01
-0.56  0.06 -0.05  0.02
-0.02  0.04  0.09  0.03
 0.12  0.02  0.11  0.01
-1.86  0.23 -1.27  0.02
-0.20  0.05 -0.07  0.02
-0.37  0.05 -0.14  0.03
-0.14  0.06 -0.11  0.01
-0.25  0.06 -0.25  0.01
-0.41  0.06 -0.13  0.01
-0.02  0.04  0.07  0.01
-0.18  0.04 -0.08  0.02
 0.05  0.07  0.15  0.07
-0.12  0.04 -0.06  0.01
-0.68  0.05 -0.27  0.02
-0.03  0.06 -0.04  0.03
-0.45  0.04 -0.25  0.01
-0.24  0.06 -0.16  0.02
-0.56  0.06 -0.38  0.01
-0.12  0.05 -0.01  0.01
 0.00  0.03  0.00  0.01
-0.06  0.04 -0.04  0.02
 0.10  0.04 -0.02  0.04
 0.11  0.04  0.17  0.02
