[Fe/H] [C/Fe] [N/Fe] [Na/Fe] [Mg/Fe] [Al/Fe] [Si/Fe] [Ca/Fe] [Sc/Fe] [Ti/Fe] [TiII/Fe] [Cr/Fe] [Mn/Fe] [FeII/Fe] [Co/Fe] [Ni/Fe] [Sr/Fe] [Ba/Fe]
-2.87   0.95   0.54  0.81  0.33 -0.62  0.35  0.30 -30.0  0.31  0.18 -0.19 -0.63 -2.82  0.18 -0.29 -0.19 -0.63
-2.98   0.31  -0.44 -30.0  0.34 -0.77 -30.0  0.35  0.10  0.36  0.31 -0.33 -0.62 -3.01  0.29  0.17 -0.13 -0.76
-3.17  -30.0  -30.0 -30.0 -30.0 -30.0  0.51  0.39  0.13  0.87  0.22 -0.08 -30.0 -3.13  0.77  0.30 -0.09 -30.0
-3.39   0.27   0.31 -30.0  0.36 -0.61 -30.0  0.45  0.00  0.40  0.32 -0.39 -30.0 -3.37  0.24  0.01 -0.42 -0.78
-2.57   1.87   1.52 -30.0  0.56  0.09 -30.0  0.96 -30.0  0.40  1.03 -0.63  0.19 -2.72 -0.13 -30.0  0.64  1.75
-2.84  -0.12   0.86  0.59  0.19 -0.31 -30.0  0.32  0.28  0.24  0.38 -0.20 -30.0 -2.85 -0.12  0.08  0.31  0.20
-2.78   2.41  -30.0  1.44  0.12 -30.0 -30.0  0.17 -30.0  0.21  0.46  0.08 -30.0 -2.55  0.21 -0.07 -0.85 -1.28
-3.10   0.62  -30.0 -30.0  0.36 -0.52  0.08  0.38  0.16  0.52  0.31 -0.22 -0.33 -2.95  0.26 -0.02  0.27 -0.48
-2.59  -30.0  -30.0 -30.0  0.45 -0.35  0.26  0.34  0.08 -30.0  0.37 -0.11 -0.49 -2.63  0.37  0.16  0.06 -0.13
-3.03   0.90   0.51  0.24  0.25 -0.52 -30.0  0.21  0.27  0.15  0.22 -0.38 -0.44 -3.05 -0.03 -0.11  0.68  1.01
-2.83   0.12   2.03  0.31  0.26 -30.0 -30.0  0.32 -30.0  0.25  0.23 -0.19 -30.0 -2.79 -30.0 -30.0 -30.0 -0.32
-3.27   0.16  -0.43 -0.33  0.31 -0.76 -30.0  0.23  0.18  0.30  0.20 -0.40 -30.0 -3.33  0.22 -0.05 -1.98 -1.69
-2.99   0.96   0.81 -30.0  0.28 -0.68 -30.0  0.24  0.30  0.20  0.28 -0.26 -0.48 -2.99  0.23  0.16 -0.15 -1.20
-2.00   1.83   0.84 -30.0 -30.0 -30.0 -30.0  0.74 -30.0  0.44  0.34 -30.0 -30.0 -2.00 -30.0 -30.0 -30.0  1.76
-3.05  -0.06  -0.76  0.57  0.56 -0.44 -30.0  0.50  0.21  0.30  0.31 -0.26 -30.0 -3.12 -0.05 -0.09 -0.59 -0.90
-2.78   2.32   1.13 -30.0  0.88 -30.0 -30.0  0.66 -30.0  0.87  0.27  0.19 -30.0 -2.75 -30.0 -30.0 -30.0  2.46
-1.46   1.22   0.47 -30.0  0.33 -0.30 -30.0  0.39 -30.0  0.39  0.35 -0.22 -0.62 -1.94 -0.04 -0.33  0.59  1.50
-3.03  -0.27   0.82  0.45  0.46 -0.32 -30.0  0.37  0.23  0.28  0.36 -0.39 -30.0 -3.01  0.02 -0.02 -0.24 -0.89
-2.96   1.39   2.28  1.42  0.13 -0.83  0.02  0.40  0.27 -30.0  0.32 -0.27 -0.35 -2.87 -30.0  0.10 -0.40 -0.30
-2.87   0.70  -30.0  0.82  0.33 -30.0  0.80  0.43 -30.0  0.34  0.13 -0.11 -30.0 -2.66 -30.0  0.53 -0.15 -0.94
-3.38  -30.0  -30.0 -30.0  0.16 -0.61  0.13  0.28  0.26 -30.0  0.28 -0.07 -0.22 -3.45  0.52  0.31 -1.61 -0.59
-3.31   0.38  -30.0 -30.0  0.34 -30.0  0.36  0.44  0.42  0.78  0.62 -0.05 -30.0 -3.28  0.53  0.20 -0.14 -30.0
-2.78   2.06   1.27  0.61  0.19 -30.0 -30.0  0.60 -30.0  0.40  0.66  0.11 -30.0 -2.76 -30.0 -30.0 -30.0  2.30
-3.97   1.06   2.16  2.10  1.38  0.02 -30.0  0.39  0.29  0.45  0.45 -0.37 -0.87 -3.86  0.37 -0.10  0.55 -0.52
-2.98   2.09   1.00  0.81  0.34 -30.0 -30.0  0.45 -30.0  0.35  0.29 -0.03 -30.0 -3.01 -30.0 -30.0 -30.0  1.17
-3.02   0.45  -30.0 -30.0  0.21 -30.0  0.13  0.49  0.47  0.72  0.73 -0.01 -30.0 -3.12  0.55  0.20  0.67 -0.05
-3.44  -0.41   1.31 -30.0 -0.13 -0.48 -30.0  0.24 -0.01  0.20  0.14 -0.45 -0.59 -3.33  0.11 -0.08 -0.52 -1.33
-2.60  -30.0  -30.0 -30.0  0.31 -0.72  0.33  0.39  0.38  0.72  0.49 -0.14 -0.55 -2.48  0.58 -0.08  0.00 -0.43
-2.12   0.42  -0.33 -30.0  0.24 -30.0 -30.0  0.40  0.02  0.36  0.33 -0.14 -0.63 -2.22  0.00  0.01  0.33 -0.13
-2.65  -30.0  -30.0 -30.0  0.04 -0.73 -30.0  0.21  0.04  0.76  0.68  0.27  0.12 -2.67 -30.0 -30.0 -0.08 -0.37
-2.43   0.06   0.10  0.61 -0.02 -0.72 -30.0  0.22  0.27  0.28  0.43 -0.05 -30.0 -2.50  0.14  0.24 -0.10 -0.24
-2.50   0.38  -30.0 -30.0 -0.01 -30.0  0.05 -0.06 -30.0  0.33 -30.0 -30.0 -30.0 -2.66  0.19 -0.21 -0.63 -30.0
-3.19   2.27   1.75 -30.0  0.30 -0.10 -30.0  0.45 -30.0  0.40  0.52 -0.17 -0.10 -3.01  0.22 -30.0 -0.86 -0.80
