[Fe/H] [Sr/H] [Zr/H] [La/H] [Ce/H] [Nd/H] [Sm/H] [Eu/H]
-0.29 -30.0 -0.13 -30.0 -0.36 -0.28 -0.24 -0.01
-0.24 -30.0 -0.21 -0.34 -0.35 -0.17 -0.16 -30.0
 0.14 -30.0 -30.0 -30.0 -30.0  0.30  0.33  0.31
-0.23 -30.0 -30.0 -30.0 -0.26 -0.43 -30.0 -0.05
-0.56 -0.58 -0.45 -30.0 -0.43 -0.29 -30.0 -30.0
 0.30 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.25 -0.43 -0.05 -0.29 -0.30 -0.29 -0.06  0.10
-0.39 -0.52 -30.0 -30.0 -0.45 -0.35 -0.20 -0.04
-0.50 -30.0 -30.0 -0.29 -30.0 -0.27 -30.0  0.01
-0.08 -30.0  0.02 -0.10 -0.02  0.01  0.04 -0.01
-0.70 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.39 -30.0 -0.32 -0.32 -0.31 -0.33 -30.0 -0.29
 0.00 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.13 -30.0 -0.26 -0.23 -0.32 -0.40 -0.16 -0.17
 0.21 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.61 -30.0 -0.24 -30.0 -30.0 -30.0 -30.0 -30.0
 0.10 -0.14  0.08 -0.01 -0.01  0.12 -0.04  0.14
-0.81 -30.0 -0.49 -30.0 -30.0 -0.71 -0.37 -0.40
 0.03 -30.0 -30.0 -30.0  0.10  0.02  0.11  0.12
-0.23 -0.24 -30.0 -0.29 -0.06 -30.0 -0.06 -0.09
-1.85 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.29 -30.0  0.31  0.10 -30.0  0.09 -30.0 -30.0
-1.57 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.13  0.13  0.07  0.05  0.02  0.17  0.24  0.18
-0.03 -30.0  0.10 -0.02  0.02 -0.10  0.06  0.02
-0.33 -30.0 -30.0 -30.0 -0.16 -0.28 -30.0 -0.13
-0.12 -0.27 -0.08 -0.23 -0.23 -0.34 -0.14 -0.04
-0.86 -0.86 -30.0 -0.68 -1.06 -0.72 -0.54 -30.0
 0.11 -30.0 -0.01 -0.09 -0.10  0.05  0.09  0.07
 0.02 -30.0  0.07  0.01 -0.05 -0.04  0.05  0.01
 0.12 -30.0  0.26  0.14  0.19  0.04  0.04 -30.0
-1.34 -1.27 -30.0 -30.0 -1.29 -1.04 -30.0 -0.83
-0.40 -30.0 -30.0 -30.0 -30.0 -0.35 -30.0 -0.12
 0.28  0.14 -30.0 -30.0 -30.0  0.37 -30.0 -30.0
-0.02 -30.0 -30.0 -0.13  0.02 -0.04  0.07  0.05
 0.01 -30.0  0.06 -0.04 -0.03 -0.06  0.05 -0.03
 0.06 -30.0 -30.0 -30.0 -0.01  0.07 -30.0  0.16
 0.05 -30.0  0.24  0.09  0.14  0.02  0.20  0.10
-1.57 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.35 -0.51 -0.37 -0.09 -30.0  0.03 -0.19 -30.0
-0.08 -0.32 -0.04 -0.10 -0.21 -0.27 -0.06  0.00
-0.53 -30.0 -0.46 -0.47 -0.67 -0.52 -0.20 -0.21
-0.06 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.50 -30.0 -0.36 -0.39 -0.47 -0.40 -30.0 -0.26
-0.14 -30.0  0.05 -0.06 -30.0 -0.05  0.14  0.09
 0.27 -30.0 -30.0 -30.0 -0.05  0.12 -30.0  0.10
-0.99 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.21 -30.0 -30.0 -0.13 -0.38 -0.09 -0.07 -30.0
-0.47 -0.60 -0.27 -30.0 -0.60 -0.44 -0.16 -0.13
 0.19  0.20 -30.0 -30.0  0.16  0.22  0.26  0.28
-0.26 -30.0 -0.14 -0.38 -0.20 -0.08 -0.21 -0.20
 0.22  0.41  0.10  0.14  0.12  0.02  0.29 -30.0
-0.20 -30.0  0.05 -30.0 -0.12 -0.08 -30.0  0.03
-0.27 -30.0 -0.08 -0.16 -0.09 -0.12  0.13  0.04
 0.20 -30.0 -30.0 -0.05 -30.0  0.09 -30.0 -0.09
-0.29 -30.0 -30.0 -0.18 -0.15 -0.12 -30.0 -0.12
-0.26 -30.0 -0.05 -0.41 -30.0 -30.0  0.01 -30.0
 0.11 -30.0  0.06 -30.0  0.00  0.08 -30.0  0.10
-0.21 -30.0 -30.0 -0.31 -0.34 -0.20 -0.06  0.07
-0.69 -0.53 -0.23 -30.0 -0.48 -0.53 -30.0 -0.28
 0.07  0.25  0.14  0.16  0.12  0.03 -30.0 -0.03
-0.10 -0.39  0.10 -0.21 -30.0 -0.29 -30.0 -0.04
-0.56 -0.68 -30.0 -30.0 -0.56 -0.43 -0.26 -0.19
-2.31 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.07 -30.0 -0.08 -0.04 -0.13 -0.09 -30.0 -0.01
-0.73 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.22 -30.0  0.18  0.05  0.12  0.06 -30.0 -30.0
 0.15 -30.0  0.06  0.09  0.06  0.13  0.12  0.14
-0.62 -0.63 -0.42 -30.0 -0.41 -0.47 -30.0 -0.41
 0.24 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.17 -0.38 -0.26 -0.17 -0.21 -0.04 -0.09  0.04
-0.17 -30.0  0.12  0.03  0.01  0.00  0.11  0.21
-0.51 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.41 -30.0 -30.0  0.20 -30.0  0.32 -30.0 -30.0
-0.22 -30.0 -30.0 -0.21 -0.16 -0.12 -30.0  0.08
-0.02 -30.0  0.05 -0.05 -0.02  0.01 -0.01  0.05
 0.13 -30.0 -0.02 -30.0 -0.02  0.04 -30.0  0.09
 0.10 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.11 -30.0  0.06  0.12  0.02  0.10 -30.0  0.15
 0.06 -30.0  0.17 -0.03  0.03 -30.0 -30.0 -30.0
-0.23 -0.40 -0.14 -0.23 -0.34 -0.26 -0.09  0.01
 0.20 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.03 -30.0  0.12 -30.0  0.32  0.07  0.22  0.06
 0.11 -30.0  0.01 -0.10 -0.09  0.04 -30.0  0.06
 0.12 -30.0  0.25  0.15  0.14  0.01  0.25  0.14
-1.69 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.14 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.49 -30.0 -30.0 -30.0 -0.17 -0.27 -30.0 -0.17
 0.26 -30.0 -30.0 -30.0 -30.0  0.15 -30.0 -30.0
 0.05 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.06 -30.0 -30.0  0.03 -0.05 -30.0  0.07  0.12
-0.09 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.37 -30.0 -30.0 -30.0 -0.58 -0.41 -0.15 -0.07
 0.17 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.37 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.22 -30.0 -30.0 -30.0  0.00 -0.04  0.12  0.09
-0.29 -0.49 -0.20 -0.37 -0.35 -30.0 -0.17 -0.11
-0.68 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.53 -30.0 -0.42 -30.0 -0.52 -0.47 -0.30 -0.25
-0.26 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.08 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.03 -30.0  0.02 -0.09 -0.12 -0.05 -0.05  0.04
-0.58 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.24 -30.0  0.17 -30.0  0.30  0.09  0.40  0.23
-0.01 -30.0 -0.01 -30.0 -0.22 -0.17 -30.0  0.02
 0.13  0.02  0.07 -0.24 -0.14 -30.0 -30.0 -0.09
-1.05 -0.83 -0.54 -30.0 -30.0 -0.81 -30.0 -0.53
-0.48 -30.0 -30.0 -0.49 -0.45 -0.33 -0.36 -0.26
-0.24 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.25 -30.0 -0.15 -0.19 -0.16 -0.10 -0.17 -0.12
 0.11 -30.0  0.15 -30.0  0.03  0.05 -30.0  0.04
-0.25 -30.0 -30.0 -30.0 -0.10 -30.0  0.03 -0.12
-0.04 -0.24 -30.0 -0.13 -0.18 -0.09 -30.0 -0.02
-0.32 -0.55 -30.0 -30.0 -0.47 -0.28 -0.36 -0.08
-0.61 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.11 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.66 -0.67 -0.43 -0.41 -0.78 -0.68 -0.29 -0.29
-0.31 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.14  0.02  0.20 -30.0 -30.0  0.03 -30.0  0.06
 0.33 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.26 -30.0  0.16 -0.01 -30.0  0.08 -30.0 -30.0
-0.26 -30.0 -30.0 -30.0 -0.29 -0.25 -30.0 -0.18
-0.29 -30.0 -0.13 -0.21 -0.24 -0.22 -0.16 -0.13
-0.54 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.24 -0.22 -30.0 -30.0 -30.0 -0.12  0.03 -30.0
 0.11 -30.0  0.20 -30.0  0.30  0.03  0.19  0.06
 0.04 -30.0  0.25 -30.0 -30.0  0.03 -30.0  0.03
-0.01 -30.0 -30.0 -30.0  0.06 -30.0 -30.0  0.08
 0.15 -30.0  0.24 -30.0 -30.0  0.09 -30.0  0.10
-0.44 -0.64 -0.42 -30.0 -0.68 -0.34 -0.30 -0.30
-0.51 -0.54 -30.0 -30.0 -0.37 -0.40 -30.0 -0.41
-1.08 -30.0 -0.81 -30.0 -30.0 -0.93 -30.0 -0.66
-0.04 -30.0 -30.0 -0.03 -0.19 -0.19 -30.0  0.02
-0.19 -30.0 -0.01 -30.0 -0.18 -30.0  0.09 -30.0
 0.05 -30.0 -30.0 -30.0 -30.0  0.07 -30.0 -30.0
-0.21  0.12  0.02 -30.0 -30.0 -0.11 -30.0  0.00
 0.06 -30.0 -30.0  0.06  0.06  0.06  0.25  0.15
 0.23 -30.0 -30.0 -30.0 -30.0  0.06 -30.0  0.09
-0.20 -30.0 -0.11 -0.21 -0.25 -0.19 -0.15 -0.13
 0.30 -30.0  0.15 -30.0 -30.0  0.21  0.24 -30.0
-0.28 -0.40 -0.17 -30.0 -0.40 -0.26 -0.23 -30.0
-0.63 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.16 -30.0  0.19 -30.0 -30.0  0.07  0.19  0.01
-0.66 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.01 -30.0 -30.0 -0.16 -0.05 -0.01  0.08  0.02
 0.08 -30.0 -30.0  0.19 -30.0  0.09 -30.0  0.11
-0.20 -30.0 -0.24 -0.40 -0.29 -0.14 -0.29 -0.08
-0.24 -30.0 -30.0 -30.0 -0.17 -0.24 -0.01 -0.13
-0.77 -0.77 -0.50 -30.0 -0.86 -0.65 -0.40 -0.31
-0.31 -0.35 -0.26 -30.0 -0.14 -0.17 -0.06 -30.0
-0.45 -30.0 -30.0 -0.41 -0.46 -30.0 -0.20 -0.17
-0.75 -0.77 -0.25 -0.95 -0.81 -0.75 -0.53 -30.0
-0.24 -30.0  0.18 -30.0 -30.0 -30.0 -30.0 -0.10
-0.34 -30.0 -0.19 -0.35 -0.44 -0.25 -0.15  0.00
-0.42 -30.0 -30.0 -30.0 -30.0 -30.0 -0.19 -0.17
 0.03 -30.0 -30.0 -30.0 -30.0  0.00 -30.0 -30.0
-0.31 -30.0 -30.0 -30.0 -0.11 -0.27 -0.02 -0.14
-0.08 -30.0 -30.0 -0.14 -0.10 -0.18  0.13 -0.01
-0.11 -0.15  0.00 -30.0 -30.0 -0.07  0.09  0.00
-0.75 -30.0 -30.0 -30.0 -30.0 -0.53 -30.0 -30.0
-0.29 -30.0 -30.0 -0.30 -0.43 -0.25 -0.29 -30.0
 0.13 -30.0  0.00 -30.0 -30.0 -30.0  0.17  0.07
 0.01 -30.0  0.03 -30.0 -0.18  0.03 -30.0  0.00
 0.04 -30.0 -30.0 -30.0 -0.07  0.28 -30.0 -30.0
-0.08 -0.01 -30.0 -30.0  0.01  0.00  0.20 -0.03
 0.19 -30.0 -30.0 -30.0  0.19  0.27  0.38  0.32
-0.14 -30.0  0.41 -30.0 -30.0 -0.18 -30.0 -0.10
-0.37 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.24 -30.0 -30.0  0.29 -30.0  0.15 -30.0  0.30
 0.13 -30.0 -30.0 -30.0  0.11  0.08 -30.0 -30.0
-0.06 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.20 -30.0 -0.13 -30.0  0.12 -0.03 -0.02 -0.03
-0.13 -0.06 -30.0 -30.0 -0.14 -0.15  0.09 -0.07
-0.07 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.20 -30.0  0.15  0.17  0.03  0.07  0.19 -30.0
-0.14 -30.0 -0.09 -30.0 -0.22 -30.0  0.13  0.02
-0.27 -30.0 -0.34 -30.0 -0.43 -0.32 -0.14 -0.06
-0.27 -30.0 -0.32 -30.0 -0.34 -0.30 -0.51 -0.16
-0.09 -30.0  0.14 -30.0  0.15  0.00 -30.0  0.13
-0.26 -30.0 -0.18 -30.0 -0.13 -0.17 -0.12 -0.15
-0.77 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.27 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.02 -30.0 -30.0  0.09  0.13  0.00  0.19  0.09
 0.29 -30.0  0.05 -30.0  0.15  0.19 -30.0 -30.0
-0.17 -30.0 -30.0 -30.0 -30.0 -0.14 -30.0 -30.0
-0.26 -30.0 -30.0 -30.0 -0.35 -0.12 -0.11 -30.0
-0.34 -0.53 -30.0 -30.0 -0.47 -30.0 -0.15 -0.03
-0.48 -30.0 -30.0 -30.0 -30.0 -30.0 -0.07 -0.11
-0.45 -30.0 -30.0 -0.49 -0.44 -30.0 -30.0 -30.0
-0.37 -0.59 -0.31 -0.36 -0.47 -30.0 -30.0 -0.21
 0.19 -30.0 -30.0  0.00  0.02 -30.0 -30.0 -30.0
 0.13 -30.0 -30.0 -30.0 -30.0  0.02 -30.0 -30.0
-0.18 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.14 -30.0 -30.0 -0.01 -0.11 -0.11 -30.0  0.06
 0.29 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.24 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.06 -0.30 -0.06 -0.08 -0.16  0.02 -0.18  0.06
 0.34 -30.0 -30.0  0.14 -30.0  0.25 -30.0 -30.0
-0.28 -30.0 -0.08 -30.0 -0.10 -0.10 -0.16 -0.15
-0.28 -30.0 -0.30 -0.36 -0.32 -0.27 -30.0 -0.08
-0.12 -30.0 -0.29 -0.16 -0.18 -30.0 -30.0 -0.05
-0.14 -0.41 -0.18 -0.23 -0.20 -0.12 -0.10 -0.05
-0.24 -30.0 -30.0 -0.33 -0.38 -0.28 -0.18 -0.08
 0.02 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.04 -0.18 -0.01 -0.04  0.05 -0.03  0.09  0.08
-0.05 -30.0 -30.0 -30.0 -30.0 -0.03 -0.04 -0.06
-0.03 -30.0 -30.0 -30.0 -30.0  0.02 -30.0 -30.0
 0.06 -30.0  0.01 -0.12 -30.0  0.04 -30.0 -30.0
-0.14 -30.0  0.05 -0.14 -0.12 -0.06 -0.04 -0.02
 0.20 -30.0 -30.0  0.04  0.20  0.04 -30.0 -30.0
-0.05 -30.0 -30.0  0.04 -0.03  0.05 -0.05  0.01
-0.34 -0.71 -0.26 -0.17 -30.0 -0.25 -30.0 -30.0
-0.29 -30.0 -30.0 -30.0 -30.0 -0.34 -0.10 -0.18
-0.14 -0.40 -0.23 -0.23 -0.28 -0.28 -0.13 -0.07
-0.65 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.50 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.08 -30.0 -0.17 -30.0 -0.17 -0.17 -30.0 -0.04
-0.45 -30.0 -30.0 -30.0 -0.12 -0.20 -0.19 -30.0
 0.00 -30.0 -30.0  0.02  0.15  0.04  0.13  0.13
-0.03 -30.0  0.03 -0.07 -0.10 -0.10  0.02  0.00
-0.11 -30.0  0.13 -30.0  0.19  0.06  0.26  0.04
 0.01 -30.0  0.16 -30.0  0.04 -0.01  0.22  0.07
 0.25  0.36  0.15 -30.0  0.23  0.20  0.37  0.19
-0.52 -0.63 -30.0 -30.0 -0.53 -0.22 -30.0 -0.18
-0.08 -30.0 -0.04 -0.17 -0.17 -0.19 -0.04 -0.03
-0.37 -30.0 -30.0 -0.41 -0.35 -0.32 -30.0 -0.16
-0.07 -30.0 -30.0 -30.0 -0.20 -0.07 -0.09 -30.0
 0.02 -30.0  0.02 -0.07 -0.06 -0.02 -30.0  0.09
 0.16 -0.13  0.13  0.00 -0.09  0.05  0.11  0.10
-0.05 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.20 -30.0 -30.0  0.03 -0.02  0.10 -30.0  0.14
-0.36 -0.54 -0.38 -0.40 -30.0 -0.36 -30.0 -30.0
 0.21 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.16 -30.0 -30.0 -0.04 -30.0 -30.0  0.31 -30.0
 0.04  0.32 -30.0 -30.0 -30.0  0.08  0.03 -30.0
 0.02 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.38 -30.0 -30.0 -0.15 -0.23 -0.30 -0.12 -0.21
 0.05 -30.0 -30.0 -0.19 -30.0  0.01 -30.0 -30.0
